mode,episode,episode_reward,max_height,unique_platforms,steps_survived,moving_avg_reward,moving_avg_max_height,epsilon,loss,terminal_reason
train,2426,28.19,0.0,7,3600,28.19,0.0,0.199552,0.2433,timeout
train,2427,2759.9,0.0,36,3600,1394.045,0.0,0.199105,0.236518,timeout
train,2428,4885.63,0.0,48,3600,2557.9067,0.0,0.198657,0.587675,timeout
train,2429,3957.93,0.0,43,3600,2907.9125,0.0,0.198209,0.805369,timeout
train,2430,636.82,0.0,17,3600,2453.694,0.0,0.197761,0.840985,timeout
train,2431,76.73,0.0,7,3600,2057.5333,0.0,0.197314,0.735408,timeout
train,2432,7.11,0.0,5,3600,1764.6157,0.0,0.196866,0.608118,timeout
train,2433,41.24,0.0,6,3600,1549.1937,0.0,0.196418,0.503546,timeout
train,2434,71.51,0.0,7,3600,1385.0067,0.0,0.19597,0.459711,timeout
train,2435,-22.55,0.0,3,3600,1244.251,0.0,0.195523,0.407442,timeout
train,2436,153.15,0.0,9,3600,1145.06,0.0,0.195075,0.380794,timeout
train,2437,303.3,0.0,12,3600,1074.9133,0.0,0.194627,0.34704,timeout
train,2438,201.92,0.0,10,3600,1007.76,0.0,0.194179,0.326744,timeout
train,2439,-59.17,0.0,0,3600,931.5507,0.0,0.193732,0.313256,timeout
train,2440,120.86,0.0,8,3600,877.5047,0.0,0.193284,0.281385,timeout
train,2441,-9.26,0.0,4,3600,822.0819,0.0,0.192836,0.263379,timeout
train,2442,44.1,0.0,6,3600,776.3182,0.0,0.192388,0.246159,timeout
train,2443,-63.94,0.0,1,3600,729.6372,0.0,0.191941,0.242451,timeout
train,2444,-62.56,0.0,1,3600,687.9426,0.0,0.191493,0.234911,timeout
train,2445,-67.66,0.0,0,3600,650.1625,0.0,0.191045,0.214715,timeout
train,2446,2.68,0.0,4,3600,619.33,0.0,0.190597,0.196896,timeout
train,2447,-84.36,0.0,0,3600,587.3441,0.0,0.19015,0.209882,timeout
train,2448,209.69,0.0,10,3600,570.9243,0.0,0.189702,0.183679,timeout
train,2449,-68.31,0.0,0,3600,544.2896,0.0,0.189254,0.173709,timeout
train,2450,-74.66,0.0,0,3600,519.5316,0.0,0.188806,0.166319,timeout
eval,2450,-23.176,0.0,0.6,3600.0,,,0.188806,,evaluation
train,2451,-59.91,0.0,1,3600,497.2454,0.0,0.188359,0.164837,timeout
train,2452,53.07,0.0,6,3600,480.7944,0.0,0.187911,0.165048,timeout
train,2453,165.61,0.0,9,3600,469.5379,0.0,0.187463,0.151141,timeout
train,2454,-74.54,0.0,0,3600,450.7766,0.0,0.187015,0.144336,timeout
train,2455,-17.0,0.0,3,3600,435.184,0.0,0.186568,0.141071,timeout
train,2456,-65.86,0.0,0,3600,419.0213,0.0,0.18612,0.139986,timeout
train,2457,-72.03,0.0,0,3600,403.6759,0.0,0.185672,0.144494,timeout
train,2458,-72.39,0.0,0,3600,389.2497,0.0,0.185224,0.134907,timeout
